company_name,description,goal,pledged,outcome,backers_count,country,currency,launched_date,end_date,staff_pick,spotlight,category & sub-category,category,subcategory
"Baldwin, Riley and Jackson",Pre-emptive tertiary standardization,100.0,0.0,failed,0,CA,CAD,2020-02-13 06:00:00,2021-03-01 06:00:00,False,False,food/food trucks,food,food trucks
Werner-Bryant,Virtual uniform frame,1800.0,7991.0,successful,222,US,USD,2020-06-20 05:00:00,2021-01-30 06:00:00,False,False,food/food trucks,food,food trucks
Stewart LLC,Cloned bi-directional architecture,1300.0,12047.0,successful,113,US,USD,2020-11-29 06:00:00,2021-06-11 05:00:00,False,False,food/food trucks,food,food trucks
Castillo-Carey,Cross-platform solution-oriented process improvement,142400.0,21307.0,failed,296,US,USD,2020-05-05 05:00:00,2021-05-30 05:00:00,False,False,food/food trucks,food,food trucks
"Wright, Hartman and Yu",User-friendly tertiary array,3300.0,12437.0,successful,131,US,USD,2021-01-29 06:00:00,2021-02-13 06:00:00,False,False,food/food trucks,food,food trucks
Morgan-Martinez,Mandatory tertiary implementation,148500.0,4756.0,canceled,55,AU,AUD,2021-03-23 05:00:00,2021-12-06 06:00:00,False,False,food/food trucks,food,food trucks
Alexander-Williams,Triple-buffered cohesive structure,7200.0,6927.0,failed,210,US,USD,2021-04-17 05:00:00,2021-07-08 05:00:00,False,False,food/food trucks,food,food trucks
Mcknight-Freeman,Upgradable scalable methodology,8300.0,6543.0,canceled,82,US,USD,2020-08-13 05:00:00,2021-04-22 05:00:00,False,False,food/food trucks,food,food trucks
Huff LLC,Face-to-face clear-thinking Local Area Network,121500.0,119830.0,failed,2179,US,USD,2021-04-10 05:00:00,2021-10-01 05:00:00,True,False,food/food trucks,food,food trucks
Ho-Harris,Versatile cohesive encoding,7300.0,717.0,failed,10,US,USD,2020-12-01 06:00:00,2021-09-28 05:00:00,False,False,food/food trucks,food,food trucks
Ramsey and Sons,Grass-roots contextually-based algorithm,3800.0,1954.0,failed,49,US,USD,2021-11-23 06:00:00,2022-02-05 06:00:00,False,False,food/food trucks,food,food trucks
Martin-Marshall,Configurable demand-driven matrix,9600.0,6401.0,failed,108,IT,EUR,2020-12-19 06:00:00,2021-10-06 05:00:00,False,True,food/food trucks,food,food trucks
Rose-Silva,Intuitive static portal,3300.0,14643.0,successful,190,US,USD,2021-01-30 06:00:00,2021-06-25 05:00:00,False,False,food/food trucks,food,food trucks
Hensley Ltd,Versatile cohesive open system,199000.0,142823.0,failed,3483,US,USD,2021-07-27 05:00:00,2021-11-21 06:00:00,False,False,food/food trucks,food,food trucks
Baker Ltd,Progressive intangible flexibility,6300.0,14199.0,successful,189,US,USD,2021-04-18 05:00:00,2021-12-22 06:00:00,False,True,food/food trucks,food,food trucks
Davis and Sons,Innovative human-resource migration,188200.0,159405.0,failed,5497,US,USD,2021-05-01 05:00:00,2021-08-28 05:00:00,False,True,food/food trucks,food,food trucks
Jones-Riddle,Self-enabling real-time definition,147800.0,15723.0,failed,162,US,USD,2020-10-19 05:00:00,2021-07-20 05:00:00,False,True,food/food trucks,food,food trucks
Perry and Sons,Configurable static help-desk,3100.0,9889.0,successful,194,GB,GBP,2021-03-04 06:00:00,2022-01-01 06:00:00,False,True,food/food trucks,food,food trucks
